id_nomenclatura,estado_amenaza,codigo_int
ICN,CR,1
ICN,CR,2
ICN,CR,3
ICN,CR,4
ICN,CR,5
ICN,CR,6
ICN,VU,7
ICN,CR,8
ICN,CR,9
ICN,CR,10
ICN,CR,11
ICN,CR,12
ICN,CR,13
ICN,EN,14
ICN,CR,15
ICN,EN,16
ICN,CR,17
ICN,CR,18
ICN,CR,19
ICN,CR,20
ICN,CR,21
ICN,CR,22
ICN,EN,23
ICN,EN,24
ICN,CR,25
ICN,CR,26
ICN,CR,27
ICN,CR,28
ICN,CR,29
ICN,CR,30
ICN,CR,31
ICN,CR,32
ICN,CR,33
ICN,EN,34
ICN,CR,35
ICN,CR,36
ICN,CR,37
ICN,VU,38
ICN,VU,39
ICN,CR,40
ICN,VU,41
ICN,EN,42
ICN,EN,43
ICN,EN,44
ICN,VU,45
ICN,CR,46
ICN,CR,47
ICN,VU,48
ICN,EN,49
ICN,CR,50
ICN,CR,51
ICN,EN,52
ICN,EN,53
ICN,CR,54
ICN,CR,55
ICN,CR,56
ICN,CR,57
ICN,VU,58
ICN,EN,59
ICN,EN,60
ICN,VU,61
ICN,VU,62
ICN,EN,63
ICN,EN,64
ICN,CR,65
ICN,CR,66
ICN,VU,67
ICN,CR,68
ICN,CR,69
ICN,CR,70
ICN,CR,71
ICN,EN,72
ICN,EN,73
ICN,CR,74
ICN,CR,75
ICN,CR,76
ICN,CR,77
ICN,EN,78
ICN,CR,79
ICN,CR,80
ICN,CR,81
ICN,VU,82
ICN,EN,83
ICN,VU,84
ICN,VU,85
ICN,VU,86
ICN,EN,87
ICN,EN,88
ICN,CR,89
ICN,CR,90
ICN,VU,91
ICN,CR,92
ICN,VU,93
ICN,VU,94
ICN,VU,95
ICN,CR,96
ICN,EN,97
ICN,CR,98
ICN,VU,99
ICN,CR,100
ICN,VU,101
ICN,CR,102
ICN,VU,103
ICN,CR,104
ICN,VU,105
ICN,CR,106
ICN,VU,107
ICN,VU,108
ICN,CR,109
ICN,VU,110
ICN,EN,111
ICN,VU,112
ICN,CR,113
ICN,EN,114
ICN,VU,115
ICN,VU,116
ICN,CR,117
ICN,VU,118
ICN,EN,119
ICN,CR,120
ICN,EN,121
ICN,CR,122
ICN,VU,123
ICN,VU,124
ICN,CR,125
ICN,EN,126
ICN,CR,127
ICN,EN,128
ICN,VU,129
ICN,VU,130
ICN,VU,131
ICN,VU,132
ICN,VU,133
ICN,EN,134
ICN,EN,135
ICN,CR,136
ICN,EN,137
ICN,VU,138
ICN,CR,139
ICN,VU,140
ICN,VU,141
ICN,VU,142
ICN,VU,143
ICN,CR,144
ICN,VU,145
ICN,CR,146
ICN,CR,147
ICN,VU,148
ICN,CR,149
ICN,CR,150
ICN,VU,151
ICN,EN,152
ICN,CR,153
ICN,CR,154
ICN,CR,155
ICN,EN,156
ICN,EN,157
ICN,EN,158
ICN,CR,159
ICN,EN,160
ICN,EN,161
ICN,VU,162
ICN,EN,163
ICN,VU,164
ICN,EN,165
ICN,VU,166
ICN,CR,167
ICN,CR,168
ICN,VU,169
ICN,VU,170
ICN,EN,171
ICN,CR,172
ICN,CR,173
ICN,CR,174
ICN,EN,175
ICN,EN,176
ICN,VU,177
ICN,VU,178
ICN,CR,179
ICN,EN,180
ICN,EN,181
ICN,CR,182
ICN,CR,183
ICN,EN,184
ICN,CR,185
ICN,EN,186
ICN,EN,187
ICN,EN,188
ICN,EN,189
ICN,EN,190
ICN,EN,191
ICN,CR,192
ICN,CR,193
ICN,CR,194
ICN,CR,195
ICN,EN,196
ICN,CR,197
ICN,VU,198
ICN,VU,199
ICN,VU,200
ICN,VU,201
ICN,VU,202
ICN,CR,203
ICN,VU,204
ICN,EN,205
ICN,EN,206
ICN,VU,207
ICN,CR,208
ICN,EN,209
ICN,CR,210
ICN,CR,211
ICN,CR,212
ICN,CR,213
ICN,CR,214
ICN,EN,215
ICN,CR,216
ICN,VU,217
ICN,CR,218
ICN,VU,219
ICN,EN,220
ICN,EN,221
ICN,EN,222
ICN,VU,223
ICN,VU,224
ICN,EN,225
ICN,CR,226
ICN,CR,227
ICN,EN,228
ICN,EN,229
ICN,EN,230
ICN,CR,231
ICN,VU,232
ICN,EN,233
ICN,CR,234
ICN,CR,235
ICN,CR,236
ICN,CR,237
ICN,VU,238
ICN,VU,239
ICN,CR,240
ICN,EN,241
ICN,CR,242
ICN,CR,243
ICN,EN,244
ICN,CR,245
ICN,EN,246
ICN,EN,247
ICN,VU,248
ICN,VU,249
ICN,CR,250
ICN,EN,251
ICN,VU,252
ICN,VU,253
ICN,CR,254
ICN,EN,255
ICN,EN,256
ICN,EN,257
ICN,EN,258
ICN,VU,259
ICN,EN,260
ICN,CR,261
ICN,VU,262
ICN,EN,263
ICN,EN,264
ICN,EN,265
ICN,VU,266
ICN,VU,267
ICN,CR,268
ICN,CR,269
ICN,EN,270
ICN,CR,271
ICN,CR,272
ICN,EN,273
ICN,VU,274
ICN,EN,275
ICN,CR,276
ICN,EN,277
ICN,EN,278
ICN,VU,279
ICN,CR,280
ICN,VU,281
ICN,CR,282
ICN,EN,283
ICN,CR,284
ICN,EN,285
ICN,CR,286
ICN,CR,287
ICN,CR,288
ICN,EN,289
ICN,VU,290
ICN,EN,291
ICN,VU,292
ICN,EN,293
ICN,EN,294
ICN,EN,295
ICN,EN,296
ICN,EN,297
ICN,VU,298
ICN,VU,299
ICN,CR,300
ICN,EN,301
ICN,EN,302
ICN,EN,303
ICN,EN,304
ICN,VU,305
ICN,VU,306
ICN,EN,307
ICN,EN,308
ICN,CR,309
ICN,VU,310
ICN,EN,311
ICN,EN,312
ICN,VU,313
ICN,EN,314
ICN,VU,315
ICN,EN,316
ICN,VU,317
ICN,VU,318
ICN,CR,319
ICN,VU,320
ICN,VU,321
ICN,VU,322
ICN,EN,323
ICN,EN,324
ICN,EN,325
ICN,CR,326
ICN,EN,327
ICN,EN,328
ICN,EN,329
ICN,EN,330
ICN,EN,331
ICN,EN,332
ICN,VU,333
ICN,EN,334
ICN,EN,335
ICN,VU,336
ICN,VU,337
ICN,EN,338
ICN,EN,339
ICN,EN,340
ICN,VU,341
ICN,EN,342
ICN,EN,343
ICN,EN,344
ICN,EN,345
ICN,CR,346
ICN,EN,347
ICN,EN,348
ICN,EN,349
ICN,EN,350
ICN,EN,351
ICN,VU,352
ICN,EN,353
ICN,EN,354
ICN,VU,355
ICN,VU,356
ICN,CR,357
ICN,VU,358
ICN,EN,359
ICN,CR,360
ICN,CR,361
ICN,EN,362
ICN,VU,363
ICN,CR,364
ICN,EN,365
ICN,CR,366
ICN,VU,367
ICN,VU,368
ICN,CR,369
ICN,EN,370
ICN,EN,371
ICN,VU,372
ICN,EN,373
ICN,EN,374
ICN,VU,375
ICN,EN,376
ICN,EN,377
ICN,EN,378
ICN,EN,379
ICN,VU,380
ICN,EN,381
ICN,VU,382
ICN,VU,383
ICN,VU,384
ICN,CR,385
ICN,VU,386
ICN,CR,387
ICN,VU,388
ICN,VU,389
ICN,EN,390
ICN,VU,391
ICN,VU,392
ICN,VU,393
ICN,VU,394
ICN,EN,395
ICN,EN,396
ICN,EN,397
ICN,VU,398
ICN,VU,399
ICN,EN,400
ICN,VU,401
ICN,VU,402
ICN,VU,403
ICN,EN,404
ICN,VU,405
ICN,VU,406
ICN,VU,407
ICN,VU,408
ICN,VU,409
ICN,EN,410
ICN,CR,411
ICN,EN,412
ICN,EN,413
ICN,EN,414
ICN,CR,415
ICN,VU,416
ICN,EN,417
ICN,EN,418
ICN,VU,419
ICN,VU,420
ICN,EN,421
ICN,VU,422
ICN,CR,423
ICN,EN,424
ICN,EN,425
ICN,CR,426
ICN,EN,427
ICN,CR,428
ICN,CR,429
ICN,EN,430
ICN,VU,431
ICN,CR,432
ICN,VU,433
ICN,EN,434
ICN,EN,435
ICN,VU,436
ICN,EN,437
ICN,VU,438
ICN,EN,439
ICN,CR,440
ICN,CR,441
ICN,EN,442
ICN,VU,443
ICN,CR,444
ICN,CR,445
ICN,VU,446
ICN,EN,447
ICN,CR,448
ICN,EN,449
ICN,EN,450
ICN,CR,451
ICN,VU,452
ICN,EN,453
ICN,VU,454
ICN,EN,455
ICN,VU,456
ICN,EN,457
ICN,VU,458
ICN,EN,459
ICN,EN,460
ICN,VU,461
ICN,CR,462
ICN,VU,463
ICN,VU,464
ICN,EN,465
ICN,VU,466
ICN,EN,467
ICN,VU,468
ICN,CR,469
ICN,VU,470
ICN,EN,471
ICN,VU,472
ICN,VU,473
ICN,EN,474
ICN,VU,475
ICN,EN,476
ICN,VU,477
ICN,EN,478
ICN,VU,479
ICN,EN,480
ICN,VU,481
ICN,VU,482
ICN,EN,483
ICN,EN,484
ICN,EN,485
ICN,VU,486
ICN,EN,487
ICN,VU,488
ICN,EN,489
ICN,VU,490
ICN,VU,491
ICN,EN,492
ICN,CR,493
ICN,VU,494
ICN,EN,495
ICN,CR,496
ICN,EN,497
ICN,VU,498
ICN,VU,499
ICN,EN,500
ICN,EN,501
ICN,CR,502
ICN,VU,503
ICN,EN,504
ICN,VU,505
ICN,VU,506
ICN,VU,507
ICN,VU,508
ICN,EN,509
