codigo_int,genero,epiteto_especifico,epiteto_intraespecifico,nombre_vernaculo,codigo_clasificacion
1,Arthonia,obscurella,NA,NA,CS1
2,Arthonia,septemlocularis,NA,NA,CS2
3,Ancistrosporella,leucophila,NA,NA,CS3
4,Byssoloma,permutans,NA,NA,CS4
5,Lecanactis,proximans,NA,NA,CS5
6,Schismatomma,leucopsarum,NA,NA,CS6
7,Bogoriella,apposita,NA,NA,CS7
8,Bacidia,proposita,NA,NA,CS8
9,Badimia,vezdana,NA,NA,CS9
10,Ramalina,bogotensis,NA,NA,CS10
11,Ramalina,protensa,NA,NA,CS11
12,Gyalideopsis,chicaque,NA,NA,CS12
13,Fissurina,linoana,NA,NA,CS13
14,Graphis,amaliana,NA,NA,CS14
15,Graphis,carmenelisana,NA,NA,CS15
16,Graphis,kavintuca,NA,NA,CS16
17,Graphis,lurizana,NA,NA,CS17
18,Graphis,mokanarum,NA,NA,CS18
19,Graphis,rosalbiana,NA,NA,CS19
20,Graphis,santanderiana,NA,NA,CS20
21,Graphis,solmariana,NA,NA,CS21
22,Myriotrema,fragile,NA,NA,CS22
23,Ocellularia,auberianoides,NA,NA,CS23
24,Ocellularia,percolumellata,NA,NA,CS24
25,Ocellularia,umbilicatoides,NA,NA,CS25
26,Ocellularia,usnicolor,NA,NA,CS26
27,Phaeographina,cabbalistica,NA,NA,CS27
28,Phaeographis,dividens,NA,NA,CS28
29,Phaeographis,galeanoae,NA,NA,CS29
30,Phaeographis,leucocheila,NA,NA,CS30
31,Platythecium,serpentinellum,NA,NA,CS31
32,Redingeria,glyphica,NA,NA,CS32
33,Thalloloma,haemographum,NA,NA,CS33
34,Thelotrema,conveniens,NA,NA,CS34
35,Thelotrema,leucocarpoides,NA,NA,CS35
36,Thelotrema,sphinctrinellum,NA,NA,CS36
37,Aspidothelium,silverstonei,NA,NA,CS37
38,Leptogium,inversum,NA,NA,CS38
39,Lobariella,angustata,NA,NA,CS39
40,Lobariella,ecorticata,NA,NA,CS40
41,Lobariella,flavomedullosa,NA,NA,CS41
42,Lobariella,parmelioides,NA,NA,CS42
43,Lobariella,pseudocrenulata,NA,NA,CS43
44,Lobariella,reticulata,NA,NA,CS44
45,Sticta,peltigerella,NA,NA,CS45
46,Sticta,rubropruinosa,NA,NA,CS46
47,Sticta,silverstonii,NA,NA,CS47
48,Sticta,tunjensis,NA,NA,CS48
49,Pertusaria,confundens,NA,NA,CS49
50,Pertusaria,thelocarpoides,NA,NA,CS50
51,Caloplaca,conjungens,NA,NA,CS51
52,Cora,accipiter,NA,NA,CS52
53,Cora,arachnodavidea,NA,NA,CS53
54,Cora,arcabucana,NA,NA,CS54
55,Cora,aturucoa,NA,NA,CS55
56,Cora,barbifera,NA,NA,CS56
57,Cora,byssoidea,NA,NA,CS57
58,Cora,casanarensis,NA,NA,CS58
59,Cora,corelleslia,NA,NA,CS59
60,Cora,davibogotana,NA,NA,CS60
61,Cora,davicrinita,NA,NA,CS61
62,Cora,davidia,NA,NA,CS62
63,Cora,fimbriata,NA,NA,CS63
64,Cora,gigantea,NA,NA,CS64
65,Cora,hafecesweorthensis,NA,NA,CS65
66,Cora,hirsuta,NA,NA,CS66
67,Cora,inversa,NA,NA,CS67
68,Cora,leslactuca,NA,NA,CS68
69,Cora,pastorum,NA,NA,CS69
70,Cora,pikynasa,NA,NA,CS70
71,Cora,putumayensis,NA,NA,CS71
72,Cora,quillacinga,NA,NA,CS72
73,Cora,rothesiorum,NA,NA,CS73
74,Cora,setosa,NA,NA,CS74
75,Cora,udebeceana,NA,NA,CS75
76,Cora,undulata,NA,NA,CS76
77,Cora,verjonensis,NA,NA,CS77
78,Lepidostroma,calocerum,NA,NA,CS78
79,Multiclavula,coronilla,NA,NA,CS79
80,Sulzbacheromyces,chocoensis,NA,NA,CS80
81,Sulzbacheromyces,tutunendo,NA,NA,CS81
82,Anomobryum,clavicaule,NA,NA,CS82
83,Bryum,sordidum,NA,NA,CS83
84,Schizymenium,pectinatum,NA,NA,CS84
85,Dicranella,muralis,NA,NA,CS85
86,Dicranella,pusilla,NA,NA,CS86
87,Pleuridium,lindigianum,NA,NA,CS87
88,Calyptrochaeta,nutans,NA,NA,CS88
89,Leskeodon,paisa,NA,NA,CS89
90,Lepidopilum,wallisii,NA,NA,CS90
91,Eurhynchium,semitortum,NA,NA,CS91
92,Trichosteleum,mastopomatoides,NA,NA,CS92
93,Cyrto-hypnum,arzobispoae,NA,NA,CS93
94,Macromitrium,tocaremae,NA,NA,CS94
95,Didymodon,lindigii,NA,NA,CS95
96,Tayloria,altorum,NA,NA,CS96
97,Sphagnum,angustifolium,NA,NA,CS97
98,Sphagnum,antioquiense,NA,NA,CS98
99,Sphagnum,boomii,NA,NA,CS99
100,Sphagnum,boyacanum,NA,NA,CS100
101,Sphagnum,capillaceum,NA,NA,CS101
102,Sphagnum,cleefii,NA,NA,CS102
103,Sphagnum,curvatulum,NA,NA,CS103
104,Sphagnum,diblastoides,NA,NA,CS104
105,Sphagnum,falcatulum,NA,NA,CS105
106,Sphagnum,imperforatum,NA,NA,CS106
107,Sphagnum,laxirameum,NA,NA,CS107
108,Sphagnum,lewisii,NA,NA,CS108
109,Sphagnum,ornatum,NA,NA,CS109
110,Sphagnum,platyphyllum,NA,NA,CS110
111,Sphagnum,pylaesii,NA,NA,CS111
112,Sphagnum,rotundatum,NA,NA,CS112
113,Sphagnum,santanderense,NA,NA,CS113
114,Sphagnum,sonsonense,NA,NA,CS114
115,Sphagnum,squarrosum,NA,NA,CS115
116,Sphagnum,sumapazense,NA,NA,CS116
117,Neesioscyphus,allionii,NA,NA,CS117
118,Ruizanthus,venezuelanus,NA,NA,CS118
119,Nowellia,curvifolia,NA,NA,CS119
120,Cephaloziella,divaricata,NA,NA,CS120
121,Cephaloziopsis,intertexta,NA,NA,CS121
122,Bazzania,denticulifera,NA,NA,CS122
123,Micropterygium,longicellulatum,NA,NA,CS123
124,Chaetocolea,palmata,NA,NA,CS124
125,Temnoma,chaetophyllum,NA,NA,CS125
126,Metzgeria,lechleri,NA,NA,CS126
127,Blepharolejeunea,saccata,NA,NA,CS127
128,Ceratolejeunea,globulifera,NA,NA,CS128
129,Cheilolejeunea,aurifera,NA,NA,CS129
130,Cheilolejeunea,tonduzana,NA,NA,CS130
131,Cololejeunea,minuscula,NA,NA,CS131
132,Cololejeunea,papilliloba,NA,NA,CS132
133,Cololejeunea,sicifolia,NA,NA,CS133
