CLASIFICACION SUPEROR ,,,,,
,,,,,
Codigo TAXONOMICO,REINO,FILIO,CLASE ,ORDEN,FAMILIA 
CS1,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae
CS2,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae
CS3,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae
CS4,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae
CS5,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae
CS6,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae
CS7,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae
CS8,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae
CS9,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae
CS10,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae
CS11,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae
CS12,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Gomphillaceae
CS13,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS14,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS15,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS16,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS17,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS18,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS19,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS20,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS21,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS22,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS23,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS24,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS25,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS26,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS27,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS28,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS29,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS30,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS31,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS32,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS33,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS34,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS35,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS36,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae
CS37,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Thelenellaceae
CS38,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae
CS39,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS40,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS41,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS42,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS43,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS44,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS45,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS46,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS47,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS48,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae
CS49,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae
CS50,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae
CS51,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae
CS52,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
CS53,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
CS54,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
CS55,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
CS56,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
CS57,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
