id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,CR,1,E1
ICN,CR,2,E2
ICN,CR,3,E3
ICN,CR,4,E4
ICN,CR,5,E5
ICN,CR,6,E6
ICN,VU,7,E7
ICN,CR,8,E8
ICN,CR,9,E9
ICN,CR,10,E10
ICN,CR,11,E11
ICN,CR,12,E12
ICN,CR,13,E13
ICN,EN,14,E14
ICN,CR,15,E15
ICN,EN,16,E16
ICN,CR,17,E17
ICN,CR,18,E18
ICN,CR,19,E19
ICN,CR,20,E20
ICN,CR,21,E21
ICN,CR,22,E22
ICN,EN,23,E23
ICN,EN,24,E24
ICN,CR,25,E25
ICN,CR,26,E26
ICN,CR,27,E27
ICN,CR,28,E28
ICN,CR,29,E29
ICN,CR,30,E30
ICN,CR,31,E31
ICN,CR,32,E32
ICN,CR,33,E33
ICN,EN,34,E34
ICN,CR,35,E35
ICN,CR,36,E36
ICN,CR,37,E37
ICN,VU,38,E38
ICN,VU,39,E39
ICN,CR,40,E40
ICN,VU,41,E41
ICN,EN,42,E42
ICN,EN,43,E43
ICN,EN,44,E44
ICN,VU,45,E45
ICN,CR,46,E46
ICN,CR,47,E47
ICN,VU,48,E48
ICN,EN,49,E49
ICN,CR,50,E50
ICN,CR,51,E51
ICN,EN,52,E52
ICN,EN,53,E53
ICN,CR,54,E54
ICN,CR,55,E55
ICN,CR,56,E56
ICN,CR,57,E57
ICN,VU,58,E58
ICN,EN,59,E59
ICN,EN,60,E60
ICN,VU,61,E61
ICN,VU,62,E62
ICN,EN,63,E63
ICN,EN,64,E64
ICN,CR,65,E65
ICN,CR,66,E66
ICN,VU,67,E67
ICN,CR,68,E68
ICN,CR,69,E69
ICN,CR,70,E70
ICN,CR,71,E71
ICN,EN,72,E72
ICN,EN,73,E73
ICN,CR,74,E74
ICN,CR,75,E75
ICN,CR,76,E76
ICN,CR,77,E77
ICN,EN,78,E78
ICN,CR,79,E79
ICN,CR,80,E80
ICN,CR,81,E81
ICN,VU,82,E82
ICN,EN,83,E83
ICN,VU,84,E84
ICN,VU,85,E85
ICN,VU,86,E86
ICN,EN,87,E87
ICN,EN,88,E88
ICN,CR,89,E89
ICN,CR,90,E90
ICN,VU,91,E91
ICN,CR,92,E92
ICN,VU,93,E93
ICN,VU,94,E94
ICN,VU,95,E95
ICN,CR,96,E96
ICN,EN,97,E97
ICN,CR,98,E98
ICN,VU,99,E99
ICN,CR,100,E100
ICN,VU,101,E101
ICN,CR,102,E102
ICN,VU,103,E103
ICN,CR,104,E104
ICN,VU,105,E105
ICN,CR,106,E106
ICN,VU,107,E107
ICN,VU,108,E108
ICN,CR,109,E109
ICN,VU,110,E110
ICN,EN,111,E111
ICN,VU,112,E112
ICN,CR,113,E113
ICN,EN,114,E114
ICN,VU,115,E115
ICN,VU,116,E116
ICN,CR,117,E117
ICN,VU,118,E118
ICN,EN,119,E119
ICN,CR,120,E120
ICN,EN,121,E121
ICN,CR,122,E122
ICN,VU,123,E123
ICN,VU,124,E124
ICN,CR,125,E125
ICN,EN,126,E126
ICN,CR,127,E127
ICN,EN,128,E128
ICN,VU,129,E129
ICN,VU,130,E130
ICN,VU,131,E131
ICN,VU,132,E132
ICN,VU,133,E133
ICN,EN,134,E134
ICN,EN,135,E135
ICN,CR,136,E136
ICN,EN,137,E137
ICN,VU,138,E138
ICN,CR,139,E139
ICN,VU,140,E140
ICN,VU,141,E141
ICN,VU,142,E142
ICN,VU,143,E143
ICN,CR,144,E144
ICN,VU,145,E145
ICN,CR,146,E146
ICN,CR,147,E147
ICN,VU,148,E148
ICN,CR,149,E149
ICN,CR,150,E150
ICN,VU,151,E151
ICN,EN,152,E152
ICN,CR,153,E153
ICN,CR,154,E154
ICN,CR,155,E155
ICN,EN,156,E156
ICN,EN,157,E157
ICN,EN,158,E158
ICN,CR,159,E159
ICN,EN,160,E160
ICN,EN,161,E161
ICN,VU,162,E162
ICN,EN,163,E163
ICN,VU,164,E164
ICN,EN,165,E165
ICN,VU,166,E166
ICN,CR,167,E167
ICN,CR,168,E168
ICN,VU,169,E169
ICN,VU,170,E170
ICN,EN,171,E171
ICN,CR,172,E172
ICN,CR,173,E173
ICN,CR,174,E174
ICN,EN,175,E175
ICN,EN,176,E176
ICN,VU,177,E177
ICN,VU,178,E178
ICN,CR,179,E179
ICN,EN,180,E180
ICN,EN,181,E181
ICN,CR,182,E182
ICN,CR,183,E183
ICN,EN,184,E184
ICN,CR,185,E185
ICN,EN,186,E186
ICN,EN,187,E187
ICN,EN,188,E188
ICN,EN,189,E189
ICN,EN,190,E190
ICN,EN,191,E191
ICN,CR,192,E192
ICN,CR,193,E193
ICN,CR,194,E194
ICN,CR,195,E195
ICN,EN,196,E196
ICN,CR,197,E197
ICN,VU,198,E198
ICN,VU,199,E199
ICN,VU,200,E200
ICN,VU,201,E201
ICN,VU,202,E202
ICN,CR,203,E203
ICN,VU,204,E204
ICN,EN,205,E205
ICN,EN,206,E206
ICN,VU,207,E207
ICN,CR,208,E208
ICN,EN,209,E209
ICN,CR,210,E210
ICN,CR,211,E211
ICN,CR,212,E212
ICN,CR,213,E213
ICN,CR,214,E214
ICN,EN,215,E215
ICN,CR,216,E216
ICN,VU,217,E217
ICN,CR,218,E218
ICN,VU,219,E219
ICN,EN,220,E220
ICN,EN,221,E221
ICN,EN,222,E222
ICN,VU,223,E223
ICN,VU,224,E224
ICN,EN,225,E225
ICN,CR,226,E226
ICN,CR,227,E227
ICN,EN,228,E228
ICN,EN,229,E229
ICN,EN,230,E230
ICN,CR,231,E231
ICN,VU,232,E232
ICN,EN,233,E233
ICN,CR,234,E234
ICN,CR,235,E235
ICN,CR,236,E236
ICN,CR,237,E237
ICN,VU,238,E238
ICN,VU,239,E239
ICN,CR,240,E240
ICN,EN,241,E241
ICN,CR,242,E242
ICN,CR,243,E243
