id_taxonomia,estado_taxonomico,observacion_taxonomica,rango_taxonomico,codigo_clasificacion
T1,Aceptado, Arthonia obscurella | Nuevo taxón incluido,Especie,CS1
T2,Aceptado, Arthonia septemlocularis | Nuevo taxón incluido,Especie,CS2
T3,Aceptado, Ancistrosporella leucophila | Nuevo taxón incluido,Especie,CS3
T4,Aceptado, Byssoloma permutans | Nuevo taxón incluido,Especie,CS4
T5,Aceptado, Lecanactis proximans | Nuevo taxón incluido,Especie,CS5
T6,Aceptado, Schismatomma leucopsarum | Nuevo taxón incluido,Especie,CS6
T7,Aceptado, Bogoriella apposita | Nuevo taxón incluido,Especie,CS7
T8,Aceptado, Bacidia proposita | Nuevo taxón incluido,Especie,CS8
T9,Aceptado, Badimia vezdana | Nuevo taxón incluido,Especie,CS9
T10,Aceptado, Ramalina bogotensis | Nuevo taxón incluido,Especie,CS10
T11,Aceptado, Ramalina protensa | Nuevo taxón incluido,Especie,CS11
T12,Aceptado, Gyalideopsis chicaque | Nuevo taxón incluido,Especie,CS12
T13,Aceptado, Fissurina linoana | Nuevo taxón incluido,Especie,CS13
T14,Aceptado, Graphis amaliana | Nuevo taxón incluido,Especie,CS14
T15,Aceptado, Graphis carmenelisana | Nuevo taxón incluido,Especie,CS15
T16,Aceptado, Graphis kavintuca | Nuevo taxón incluido,Especie,CS16
T17,Aceptado, Graphis lurizana | Nuevo taxón incluido,Especie,CS17
T18,Aceptado, Graphis mokanarum | Nuevo taxón incluido,Especie,CS18
T19,Aceptado, Graphis rosalbiana | Nuevo taxón incluido,Especie,CS19
T20,Aceptado, Graphis santanderiana | Nuevo taxón incluido,Especie,CS20
T21,Aceptado, Graphis solmariana | Nuevo taxón incluido,Especie,CS21
T22,Aceptado, Myriotrema fragile | Nuevo taxón incluido,Especie,CS22
T23,Aceptado, Ocellularia auberianoides | Nuevo taxón incluido,Especie,CS23
T24,Sinónimo, Ocellularia percolumellata | Nuevo taxón incluido,Especie,CS24
T25,Aceptado, Ocellularia umbilicatoides | Nuevo taxón incluido,Especie,CS25
T26,Aceptado, Ocellularia usnicolor | Nuevo taxón incluido,Especie,CS26
T27,Aceptado, Phaeographina cabbalistica,Especie,CS27
T28,Aceptado, Phaeographis dividens | Nuevo taxón incluido,Especie,CS28
T29,Aceptado, Phaeographis galeanoae | Nuevo taxón incluido,Especie,CS29
T30,Aceptado, Phaeographis leucocheila | Nuevo taxón incluido,Especie,CS30
T31,Aceptado, Platythecium serpentinellum | Nuevo taxón incluido,Especie,CS31
T32,Aceptado, Redingeria glyphica | Nuevo taxón incluido,Especie,CS32
T33,Aceptado, Thalloloma haemographum | Nuevo taxón incluido,Especie,CS33
T34,Aceptado, Thelotrema conveniens | Nuevo taxón incluido,Especie,CS34
T35,Aceptado, Thelotrema leucocarpoides,Especie,CS35
T36,Aceptado, Thelotrema sphinctrinellum | Nuevo taxón incluido,Especie,CS36
