Especies Amenazadas,,
CODIGO INTERESPECIFIDAD,ID NOMENCLATURA,ESTADO DE AMENAZA
1,ICN,CR
2,ICN,CR
3,ICN,CR
4,ICN,CR
5,ICN,CR
6,ICN,CR
7,ICN,VU
8,ICN,CR
9,ICN,CR
10,ICN,CR
11,ICN,CR
12,ICN,CR
13,ICN,CR
14,ICN,EN
15,ICN,CR
16,ICN,EN
17,ICN,CR
18,ICN,CR
19,ICN,CR
20,ICN,CR
21,ICN,CR
22,ICN,CR
23,ICN,EN
24,ICN,EN
25,ICN,CR
26,ICN,CR
27,ICN,CR
28,ICN,CR
29,ICN,CR
30,ICN,CR
31,ICN,CR
32,ICN,CR
33,ICN,CR
34,ICN,EN
35,ICN,CR
36,ICN,CR
37,ICN,CR
38,ICN,VU
39,ICN,VU
40,ICN,CR
41,ICN,VU
42,ICN,EN
43,ICN,EN
44,ICN,EN
45,ICN,VU
46,ICN,CR
47,ICN,CR
48,ICN,VU
49,ICN,EN
50,ICN,CR
51,ICN,CR
52,ICN,EN
53,ICN,EN
54,ICN,CR
55,ICN,CR
56,ICN,CR
57,ICN,CR
58,ICN,VU
59,ICN,EN
60,ICN,EN
61,ICN,VU
62,ICN,VU
63,ICN,EN
64,ICN,EN
65,ICN,CR
66,ICN,CR
67,ICN,VU
68,ICN,CR
69,ICN,CR
70,ICN,CR
71,ICN,CR
72,ICN,EN
73,ICN,EN
74,ICN,CR
75,ICN,CR
76,ICN,CR
77,ICN,CR
78,ICN,EN
79,ICN,CR
80,ICN,CR
81,ICN,CR
82,ICN,VU
83,ICN,EN
84,ICN,VU
85,ICN,VU
86,ICN,VU
87,ICN,EN
88,ICN,EN
89,ICN,CR
90,ICN,CR
91,ICN,VU
92,ICN,CR
93,ICN,VU
94,ICN,VU
95,ICN,VU
96,ICN,CR
97,ICN,EN
98,ICN,CR
99,ICN,VU
100,ICN,CR
101,ICN,VU
102,ICN,CR
103,ICN,VU
104,ICN,CR
105,ICN,VU
106,ICN,CR
107,ICN,VU
108,ICN,VU
109,ICN,CR
110,ICN,VU
111,ICN,EN
112,ICN,VU
113,ICN,CR
114,ICN,EN
115,ICN,VU
116,ICN,VU
117,ICN,CR
