Informacion_Taxonomica,,,,
Codigo TAXONOMICO,ID Taxonomia,ESTADO TAXONOMICO,RANGO DE TAXON,TAXON OBSERVACIONES
CS1,T1,Aceptado,Especie, Arthonia obscurella | Nuevo taxón incluido
CS2,T2,Aceptado,Especie, Arthonia septemlocularis | Nuevo taxón incluido
CS3,T3,Aceptado,Especie, Ancistrosporella leucophila | Nuevo taxón incluido
CS4,T4,Aceptado,Especie, Byssoloma permutans | Nuevo taxón incluido
CS5,T5,Aceptado,Especie, Lecanactis proximans | Nuevo taxón incluido
CS6,T6,Aceptado,Especie, Schismatomma leucopsarum | Nuevo taxón incluido
CS7,T7,Aceptado,Especie, Bogoriella apposita | Nuevo taxón incluido
CS8,T8,Aceptado,Especie, Bacidia proposita | Nuevo taxón incluido
CS9,T9,Aceptado,Especie, Badimia vezdana | Nuevo taxón incluido
CS10,T10,Aceptado,Especie, Ramalina bogotensis | Nuevo taxón incluido
CS11,T11,Aceptado,Especie, Ramalina protensa | Nuevo taxón incluido
CS12,T12,Aceptado,Especie, Gyalideopsis chicaque | Nuevo taxón incluido
CS13,T13,Aceptado,Especie, Fissurina linoana | Nuevo taxón incluido
CS14,T14,Aceptado,Especie, Graphis amaliana | Nuevo taxón incluido
CS15,T15,Aceptado,Especie, Graphis carmenelisana | Nuevo taxón incluido
CS16,T16,Aceptado,Especie, Graphis kavintuca | Nuevo taxón incluido
CS17,T17,Aceptado,Especie, Graphis lurizana | Nuevo taxón incluido
CS18,T18,Aceptado,Especie, Graphis mokanarum | Nuevo taxón incluido
CS19,T19,Aceptado,Especie, Graphis rosalbiana | Nuevo taxón incluido
CS20,T20,Aceptado,Especie, Graphis santanderiana | Nuevo taxón incluido
CS21,T21,Aceptado,Especie, Graphis solmariana | Nuevo taxón incluido
CS22,T22,Aceptado,Especie, Myriotrema fragile | Nuevo taxón incluido
CS23,T23,Aceptado,Especie, Ocellularia auberianoides | Nuevo taxón incluido
CS24,T24,Sinónimo,Especie, Ocellularia percolumellata | Nuevo taxón incluido
CS25,T25,Aceptado,Especie, Ocellularia umbilicatoides | Nuevo taxón incluido
CS26,T26,Aceptado,Especie, Ocellularia usnicolor | Nuevo taxón incluido
CS27,T27,Aceptado,Especie, Phaeographina cabbalistica
CS28,T28,Aceptado,Especie, Phaeographis dividens | Nuevo taxón incluido
CS29,T29,Aceptado,Especie, Phaeographis galeanoae | Nuevo taxón incluido
CS30,T30,Aceptado,Especie, Phaeographis leucocheila | Nuevo taxón incluido
CS31,T31,Aceptado,Especie, Platythecium serpentinellum | Nuevo taxón incluido
CS32,T32,Aceptado,Especie, Redingeria glyphica | Nuevo taxón incluido
CS33,T33,Aceptado,Especie, Thalloloma haemographum | Nuevo taxón incluido
CS34,T34,Aceptado,Especie, Thelotrema conveniens | Nuevo taxón incluido
